SCG,38.91,38.91,38.215,38.49,6620
SCHW,14.31,14.34,14,14,87072
SE,21.36,21.37,20.9,21.04,29220
SEE,21.75,21.78,21.22,21.38,7353
SHLD,66.8,66.8,61.02,61.034,40778
SHW,69.27,69.4975,67.45,67.63,13560
SIAL,54.77,54.99,53.3416,53.72,6668
SII,40.93,41.26,39.87,40.17,34647
SJM,58.49,58.49,57.37,58.03,13486
SLB,59.05,59.15,57.37,57.82,85201
SLE,14.86,15,14.83,14.93,90321
SLM,11.72,11.77,11.43,11.47,38299
SNA,41.86,41.99,40.71,41.01,3304
SNDK,43.455,43.96,41.8,41.9,174274
SNI,42.25,42.32,41.32,41.61,7324
SO,35.85,35.88,35.2801,35.49,39045
SPG,91.54,91.62,89.08,89.39,26879
SPLS,19.25,19.52,18.87,18.94,155478
SRCL,66.73,66.86,65.28,66.12,6282
SRE,50.93,51.1,50.16,50.6,11959
STI,24.52,25.1,24.1875,24.22,70643
STJ,37.73,37.73,36.68,37.17,18540
STT,38.14,38.23,36.79,37.01,49914
STZ,16.74,16.78,16.49,16.68,10258
SUN,35.68,35.68,35.15,35.63,22501
SVU,10.78,10.8,10.3,10.31,39011
SWK,56.84,56.87,54.97,55.19,11631
SWN,34.51,34.79,34.18,34.32,50067
SWY,20.37,20.41,19.91,20.03,62750
SYK,46.58,46.64,45.64,45.86,19531
SYMC,13.95,13.97,13,13.37,620963
SYY,28.88,28.89,28.18,28.3,47720
T,27.2,27.3,26.8,26.97,266424
TAP,46.43,46.43,45.57,46.04,6022
TDC,30.32,30.8,30.1,30.43,12979
TE,16.66,16.66,16.27,16.38,17003
TEG,49.05,49.38,48.29,48.71,4385
TER,9.84,10.01,9.63,9.68,58292
TGT,51.86,52.12,51.31,51.85,83928
THC,4.23,4.28,4.15,4.17,56755
TIE,20.09,20.59,19.61,19.64,24225
TIF,43.48,43.94,42.51,43.21,31271
TJX,41.88,42.38,41.38,41.93,54315
TLAB,7.11,7.21,6.96,7.06,71941
TMK,51.16,51.34,49.76,49.87,9496
TMO,45,45.28,44.12,44.35,27237
TROW,47.31,47.37,45.64,45.65,25702
TRV,49.85,50.07,49.49,49.84,40687
TSN,16.37,16.52,16.12,16.46,52541
TSO,11.62,11.71,11.39,11.55,33914
TSS,14.43,14.44,14.11,14.24,10462
TWC,55.94,55.94,53.61,54.05,25550
TWX,31.18,31.24,30.51,30.66,71503
TXN,24.85,25.05,24.45,24.53,94494
