Date,Open,High,Low,Close,Volume,Adj Close
1999-04-22,197.25,198.75,192.69,194.50,39169800,80.24
1999-04-21,169.75,171.88,165.12,171.88,13161600,70.90
1999-04-20,167.00,169.75,163.00,169.75,14716000,70.03
1999-04-19,170.88,172.31,164.06,166.75,15383600,68.79
1999-04-16,177.50,177.50,170.12,170.38,11928800,70.29
1999-04-15,179.50,179.50,173.50,177.75,8330400,73.33
1999-04-14,182.75,183.88,177.62,179.38,7261000,74.00
1999-04-13,184.00,184.00,179.94,180.00,6846400,74.26
1999-04-12,183.50,183.62,181.06,183.44,8979800,75.67
1999-04-09,185.62,188.06,184.00,186.31,6111800,76.86
1999-04-08,186.00,188.06,182.31,187.00,8531000,77.14
1999-04-07,184.00,187.62,179.06,186.50,11662000,76.94
1999-04-06,183.12,186.75,182.19,183.00,8742800,75.49
1999-04-05,179.00,183.94,178.56,183.94,9238400,75.88
1999-04-01,177.31,177.69,174.69,177.00,5310800,73.02
1999-03-31,180.00,181.50,176.50,177.25,5835200,73.12
1999-03-30,177.00,181.25,176.88,178.56,7466800,73.66
1999-03-29,175.00,178.75,174.38,177.88,8098200,73.38
1999-03-26,171.06,175.88,170.56,172.38,8266400,71.11
1999-03-25,172.00,173.25,169.50,171.31,9828800,70.67
1999-03-24,168.00,170.50,166.50,169.50,11821000,69.92
1999-03-23,167.00,167.62,164.00,165.38,10015000,68.22
1999-03-22,168.69,170.50,166.62,167.00,11896600,68.89
1999-03-19,176.62,178.00,168.00,168.56,19496800,69.54
1999-03-18,177.50,177.75,172.94,177.62,14505000,73.28
1999-03-17,179.50,180.00,178.00,178.06,6915400,73.46
1999-03-16,182.00,183.50,180.19,181.00,6606000,74.67
1999-03-15,179.19,182.31,177.12,182.00,7902800,75.08
1999-03-12,182.69,183.44,178.00,178.00,9683200,73.43
1999-03-11,182.38,185.94,181.50,182.88,8591200,75.44
1999-03-10,181.62,182.88,180.25,181.50,7009800,74.88
1999-03-09,179.88,184.88,178.56,182.19,10019000,75.16
1999-03-08,178.62,180.00,177.06,178.88,7559800,73.79
1999-03-05,173.88,178.94,173.75,178.38,11606200,73.59
1999-03-04,173.50,177.00,170.12,171.00,21501000,70.54
1999-03-03,168.50,168.94,165.06,166.75,7743000,68.79
1999-03-02,170.50,170.94,166.88,167.75,8743600,69.20
1999-03-01,169.50,169.50,165.12,168.38,9590800,69.46
